lab_id,model_id,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0008,0007,4.719512195121951,4.934065934065934,4.035714285714286,3.727272727272727,5.725,3.880952380952381,4.218390804597701,4.425531914893617
MF0008,0008,4.402439024390244,5.010989010989011,3.630952380952381,3.465909090909091,5.85,3.3214285714285716,3.1954022988505746,4.914893617021277
MF0008,0009,4.170731707317073,3.5054945054945055,3.511904761904762,4.6477272727272725,4.9875,3.4404761904761907,4.482758620689655,3.4148936170212765
MF0008,0010,4.012195121951219,3.5934065934065935,3.4285714285714284,4.454545454545454,4.9,3.642857142857143,4.540229885057471,3.7127659574468086
MF0008,0011,4,3.4065934065934065,3.7023809523809526,4.7272727272727275,5.7875,4.011904761904762,4.310344827586207,3.8297872340425534
MF0008,0012,4.378048780487805,3.098901098901099,4.119047619047619,5.25,5.575,4.440476190476191,5.080459770114943,3.25531914893617
MF0010,0001,4.012195121951219,4.362637362637362,4.023809523809524,4.068181818181818,5.225,4.035714285714286,4.540229885057471,3.893617021276596
MF0010,0002,4.158536585365853,4.384615384615385,4.428571428571429,4.875,5.6,4.988095238095238,5.0344827586206895,4.457446808510638
MF0010,0003,4.5,3.8351648351648353,3.2857142857142856,4.556818181818182,4.0625,3.4761904761904763,4.827586206896552,3.765957446808511
MF0010,0004,4.073170731707317,3.7252747252747254,4.071428571428571,4.363636363636363,5.6,4.107142857142857,4.816091954022989,4.085106382978723
MF0010,0005,4.158536585365853,3.956043956043956,3.4166666666666665,4.25,4.575,3.642857142857143,4.091954022988506,3.904255319148936
MF0010,0006,4.012195121951219,3.8351648351648353,3.392857142857143,4.1477272727272725,4.975,3.238095238095238,4.344827586206897,3.9148936170212765
MF0010,0007,3.902439024390244,4.670329670329671,2.9404761904761907,3.852272727272727,4.8125,2.9523809523809526,3.8045977011494254,4.24468085106383
MF0010,0008,4.463414634146342,4.813186813186813,1.7261904761904763,3.227272727272727,4.0375,2.1547619047619047,3.4827586206896552,4.638297872340425
MF0010,0009,4.097560975609756,4.329670329670329,2.761904761904762,4.204545454545454,4.9,2.630952380952381,4.67816091954023,3.8404255319148937
MF0010,0010,4.597560975609756,3.4285714285714284,2.1904761904761907,4.090909090909091,5.1875,2.3095238095238093,4.517241379310345,3.8617021276595747
MF0010,0011,4.573170731707317,3.769230769230769,2.5714285714285716,3.352272727272727,5.375,2.7738095238095237,3.4597701149425286,3.7127659574468086
MF0010,0012,4.439024390243903,3.5054945054945055,3.5952380952380953,4.511363636363637,5.0625,3.8452380952380953,4.402298850574713,3.4468085106382977
MF0010,0013,4.817073170731708,4.868131868131868,2.1904761904761907,3.4886363636363638,4.1875,2.488095238095238,3.4942528735632186,5.202127659574468
MF0010,0014,4.182926829268292,4.1208791208791204,2.9404761904761907,3.75,5.5,3.357142857142857,3.6666666666666665,4.361702127659575
MF0011,0001,4.097560975609756,3.3516483516483517,2.869047619047619,4.329545454545454,4.9,NA,NA,NA
MF0011,0002,4.170731707317073,3.5604395604395602,4.0476190476190474,4.818181818181818,5.2375,4.321428571428571,5.0344827586206895,3.734042553191489
MF0011,0003,4.012195121951219,3.6263736263736264,3.142857142857143,4.204545454545454,4.9,3.5357142857142856,4.367816091954023,3.882978723404255
MF0011,0004,4.2560975609756095,3.4065934065934065,3.642857142857143,4.556818181818182,4.9625,3.7023809523809526,4.793103448275862,3.627659574468085
MF0011,0005,3.8780487804878048,4.593406593406593,3.8452380952380953,3.909090909090909,5.75,NA,NA,NA
MF0011,0006,4.097560975609756,5.054945054945055,3.25,3.0681818181818183,5.3375,3.0476190476190474,3.5057471264367814,3.9680851063829787
MF0011,0007,4.109756097560975,3.769230769230769,4.964285714285714,5.375,5.7125,NA,NA,NA
MF0011,0008,3.841463414634146,3.659340659340659,3.4285714285714284,4.375,4.825,3.2738095238095237,4.632183908045977,3.1702127659574466
MF0011,0009,4.439024390243903,4.3076923076923075,2.9404761904761907,3.6136363636363638,5.4125,3.1904761904761907,3.471264367816092,4.829787234042553
